sheet,asset_id,output_type,col,row,cols,rows,width,height
items_sheet_chromakey_v01.png,moonbone,item_icon,4,1,6,6,32,32
items_sheet_chromakey_v01.png,dao_severing_dust,item_icon,5,1,6,6,32,32
items_sheet_chromakey_v01.png,qi_drawing_talisman,item_icon,0,2,6,6,32,32
items_sheet_chromakey_v01.png,spring_return_pill,item_icon,1,2,6,6,16,16
items_sheet_chromakey_v01.png,qi_condensing_pill,item_icon,2,2,6,6,24,24
items_sheet_chromakey_v01.png,foundation_pill,item_icon,3,2,6,6,24,24
items_sheet_chromakey_v01.png,tribulation_resisting_pill,item_icon,4,2,6,6,24,24
items_sheet_chromakey_v01.png,star_abyss_forbidden_talisman,item_icon,5,2,6,6,32,32
items_sheet_chromakey_v01.png,spirit_vein_incense,item_icon,0,3,6,6,32,32
items_sheet_chromakey_v01.png,garden_broken_key,item_icon,1,3,6,6,32,32
items_sheet_chromakey_v01.png,old_furnace_ember,item_icon,2,3,6,6,24,24
items_sheet_chromakey_v01.png,thunder_calling_jade,item_icon,3,3,6,6,32,32
items_sheet_chromakey_v01.png,star_abyss_membrane,item_icon,4,3,6,6,32,32
items_sheet_chromakey_v01.png,heaven_tablet_rubbing,item_icon,5,3,6,6,32,32
items_sheet_chromakey_v01.png,moonbone_ritual_talisman,item_icon,0,4,6,6,32,32
equipment_sheet_chromakey_v01.png,woodgrain_flying_sword,item_icon,0,0,6,4,48,48
equipment_sheet_chromakey_v01.png,cloudpiercer_flying_sword,item_icon,1,0,6,4,64,64
equipment_sheet_chromakey_v01.png,thunder_pattern_sword_case,item_icon,2,0,6,4,64,64
equipment_sheet_chromakey_v01.png,formless_sword_wheel,item_icon,3,0,6,4,64,64
equipment_sheet_chromakey_v01.png,moonbone_dharma_sword,item_icon,4,0,6,4,64,64
equipment_sheet_chromakey_v01.png,cinnabar_talisman_flame_item,item_icon,5,0,6,4,32,32
equipment_sheet_chromakey_v01.png,greenwood_array_plate,item_icon,0,1,6,4,48,48
equipment_sheet_chromakey_v01.png,thunder_talisman_array_plate,item_icon,1,1,6,4,48,48
equipment_sheet_chromakey_v01.png,broken_heaven_decree,item_icon,2,1,6,4,48,48
equipment_sheet_chromakey_v01.png,old_heaven_dao_scroll,item_icon,3,1,6,4,64,64
equipment_sheet_chromakey_v01.png,spiritwood_crossbow,item_icon,4,1,6,4,48,48
equipment_sheet_chromakey_v01.png,star_eclipse_arbalest,item_icon,5,1,6,4,64,64
equipment_sheet_chromakey_v01.png,qi_gathering_pendant,item_icon,0,2,6,4,32,32
equipment_sheet_chromakey_v01.png,spiritwood_charm,item_icon,1,2,6,4,32,32
equipment_sheet_chromakey_v01.png,furnace_heart_ring,item_icon,2,2,6,4,32,32
equipment_sheet_chromakey_v01.png,lightning_ward_jade,item_icon,3,2,6,4,32,32
equipment_sheet_chromakey_v01.png,star_abyss_eye,item_icon,4,2,6,4,32,32
equipment_sheet_chromakey_v01.png,nascent_soul_jade_box,item_icon,5,2,6,4,32,32
equipment_sheet_chromakey_v01.png,broken_heaven_crown_seal,item_icon,0,3,6,4,32,32
equipment_sheet_chromakey_v01.png,dao_severing_ring,item_icon,1,3,6,4,32,32
projectiles_sheet_chromakey_v01.png,woodgrain_sword_proj,projectile,0,0,6,4,32,16
projectiles_sheet_chromakey_v01.png,cloudpiercer_sword_proj,projectile,1,0,6,4,48,16
projectiles_sheet_chromakey_v01.png,cloud_wisp_proj,projectile,2,0,6,4,24,16
projectiles_sheet_chromakey_v01.png,thunder_sword_proj,projectile,3,0,6,4,48,16
projectiles_sheet_chromakey_v01.png,minor_thunderbolt_proj,projectile,4,0,6,4,16,64
projectiles_sheet_chromakey_v01.png,formless_sword_wheel_proj,projectile,5,0,6,4,64,64
projectiles_sheet_chromakey_v01.png,moonbone_shard_proj,projectile,0,1,6,4,24,16
projectiles_sheet_chromakey_v01.png,cinnabar_talisman_flame,projectile,1,1,6,4,24,24
projectiles_sheet_chromakey_v01.png,greenwood_array_field,projectile,2,1,6,4,96,96
projectiles_sheet_chromakey_v01.png,thunder_talisman_array,projectile,3,1,6,4,96,96
projectiles_sheet_chromakey_v01.png,decree_judgement_beam,projectile,4,1,6,4,32,128
projectiles_sheet_chromakey_v01.png,spirit_bolt,projectile,5,1,6,4,16,8
projectiles_sheet_chromakey_v01.png,star_eclipse_split_bolt,projectile,0,2,6,4,24,24
tiles_ui_sheet_chromakey_v01.png,spirit_ore_tile,tile,0,0,6,6,16,16
tiles_ui_sheet_chromakey_v01.png,spirit_moss,tile,1,0,6,6,16,16
tiles_ui_sheet_chromakey_v01.png,greenwood_soil_tile,tile,2,0,6,6,16,16
tiles_ui_sheet_chromakey_v01.png,spirit_herb,tile,3,0,6,6,16,24
tiles_ui_sheet_chromakey_v01.png,furnace_slag_tile,tile,4,0,6,6,16,16
tiles_ui_sheet_chromakey_v01.png,black_furnace_wall,wall,5,0,6,6,16,16
tiles_ui_sheet_chromakey_v01.png,thunder_cloud_tile,tile,0,1,6,6,16,16
tiles_ui_sheet_chromakey_v01.png,singing_thunder_stone,object,1,1,6,6,24,32
tiles_ui_sheet_chromakey_v01.png,star_abyss_crystal_tile,tile,2,1,6,6,16,16
tiles_ui_sheet_chromakey_v01.png,rift_membrane,object,3,1,6,6,32,32
tiles_ui_sheet_chromakey_v01.png,sect_ruin_brick,tile,4,1,6,6,16,16
tiles_ui_sheet_chromakey_v01.png,sword_tablet,object,5,1,6,6,32,48
tiles_ui_sheet_chromakey_v01.png,fallen_heaven_jade_tile,tile,0,2,6,6,16,16
tiles_ui_sheet_chromakey_v01.png,broken_heaven_tablet,object,1,2,6,6,32,64
tiles_ui_sheet_chromakey_v01.png,moonbone_tile,tile,2,2,6,6,16,16
tiles_ui_sheet_chromakey_v01.png,archive_light_pillar,object,3,2,6,6,32,96
tiles_ui_sheet_chromakey_v01.png,spiritual_energy_bar_frame,ui,0,3,6,6,164,16
tiles_ui_sheet_chromakey_v01.png,spiritual_energy_bar_fill,ui,1,3,6,6,160,12
tiles_ui_sheet_chromakey_v01.png,pressure_warning_icon,ui,2,3,6,6,32,32
tiles_ui_sheet_chromakey_v01.png,artifact_slot_frame,ui,3,3,6,6,40,40
tiles_ui_sheet_chromakey_v01.png,tribulation_warning_line,ui,4,3,6,6,16,4
